,code,decileMarch24,d_or_o
420,E01021110,0,1
421,E01028641,0,0
422,E01010560,0,0
423,E01007372,0,2
424,E01016908,0,1
425,E01012783,0,1
426,E01007374,0,1
427,E01010455,0,1
428,E01019520,0,0
429,E01009969,0,1
430,E01010412,0,1
431,E01012780,0,2
432,E01013087,0,0
434,E01021800,0,2
435,E01026613,0,2
436,E01017586,0,0
437,E01029230,0,0
438,E01010443,0,2
439,E01022178,0,2
440,E01031027,0,2
441,E01020892,0,2
442,E01029664,0,0
443,E01010535,0,1
444,E01010382,0,0
445,E01017598,0,0
446,E01020312,0,2
447,E01023495,0,0
448,E01012845,0,2
449,E01022062,0,1
450,E01010295,0,1
451,E01028961,0,0
453,E01010331,0,2
454,E01029663,0,1
455,E01012782,0,2
456,E01010284,0,1
457,E01026438,0,1
458,E01012136,0,1
459,E01009770,0,1
460,E01016149,0,2
461,E01010277,0,1
462,E01012905,0,0
463,E01028796,0,0
464,E01013035,0,1
465,E01033150,0,0
466,E01027445,0,1
467,E01010036,0,1
468,E01020752,0,0
469,E01010447,0,1
470,E01033473,0,2
471,E01014517,0,0
472,E01010419,0,0
473,E01012838,0,1
474,E01018869,0,0
475,E01010448,0,0
477,E01032833,0,1
478,E01029259,0,1
479,E01024332,0,1
480,E01011993,0,2
481,E01032055,0,1
482,E01011745,0,0
483,E01010410,0,1
484,E01013225,0,2
485,E01010395,0,0
486,E01021234,0,0
487,E01010273,0,2
488,E01032382,0,2
489,E01025507,0,1
490,E01014594,0,0
491,E01014059,0,0
492,E01027078,0,2
493,E01011962,0,1
494,E01010300,0,0
495,E01003625,0,1
496,E01002546,0,1
497,E01010531,0,0
498,E01018862,0,0
499,E01030043,0,0
500,E01025509,0,1
501,E01028888,0,0
502,E01013031,0,2
503,E01001433,0,0
504,E01017451,0,2
505,E01008466,0,0
506,E01022179,0,0
507,E01021125,0,0
508,E01016014,0,1
509,E01027462,0,2
510,E01035036,0,2
511,E01026607,0,2
512,E01029060,0,0
513,E01014593,0,1
514,E01027538,0,0
515,E01020106,0,0
516,E01010266,0,0
517,E01011943,0,0
518,E01003732,0,1
519,E01002956,0,1
520,E01020792,0,0
521,E01006670,0,1
522,E01026110,0,0
523,E01021551,0,2
525,E01010409,0,0
526,E01010271,0,1
527,E01003530,0,0
528,E01019629,0,2
529,E01020046,0,0
530,E01010258,0,1
532,E01008427,0,0
533,E01027536,0,2
534,E01020239,0,2
535,E01021179,0,0
536,E01025148,0,2
537,E01010476,0,1
538,E01029884,0,0
539,E01010282,0,2
540,E01027535,0,2
541,E01018956,0,1
542,E01019179,0,1
543,E01018871,0,2
544,E01033769,0,0
545,E01011968,0,0
546,E01010444,0,2
547,E01021794,0,0
548,E01010030,0,0
549,E01009769,0,0
550,E01011807,0,0
551,E01020569,0,1
552,E01001444,0,0
553,E01021068,0,0
554,E01029571,0,0
555,E01012628,0,2
556,E01021178,0,0
557,E01009971,0,1
558,E01030285,0,2
559,E01019128,0,1
560,E01011941,0,2
561,E01027042,0,1
562,E01015490,0,2
563,E01029885,0,0
564,E01025482,0,1
565,E01032633,0,2
566,E01007597,0,1
567,E01019346,0,0
568,E01024534,0,2
569,E01010471,0,2
570,E01011849,0,2
571,E01021211,0,2
572,E01011936,0,1
573,E01010567,0,0
574,E01010537,0,2
575,E01003495,0,2
576,E01032515,0,2
577,E01033742,0,2
578,E01008390,0,1
579,E01021989,0,0
580,E01010394,0,0
581,E01010031,0,2
582,E01010399,0,0
584,E01002544,0,2
585,E01029670,0,0
586,E01032430,0,1
587,E01002591,0,2
589,E01019800,0,2
590,E01025204,0,1
591,E01027544,0,1
592,E01034866,0,2
593,E01015758,0,1
594,E01018843,0,0
595,E01018953,0,2
596,E01008795,0,1
597,E01001362,0,1
598,E01008301,0,2
599,E01031422,0,0
600,E01033205,0,0
601,E01009767,0,2
602,E01027463,0,0
603,E01030286,0,0
604,E01010554,0,0
605,E01007855,0,1
606,E01027628,0,0
607,E01010380,0,2
608,E01032423,0,2
609,E01010421,0,0
610,E01035067,0,1
611,E01010534,0,1
612,E01026740,0,1
613,E01021990,0,1
614,E01020262,0,1
615,E01019503,0,1
616,E01022216,0,0
617,E01028036,0,2
618,E01001373,0,0
619,E01007373,0,1
620,E01007341,0,1
621,E01011624,0,0
622,E01028317,0,1
623,E01010821,0,2
625,E01010532,0,2
626,E01001447,0,1
627,E01032417,0,1
628,E01020827,0,1
629,E01010275,0,1
630,E01028035,0,0
631,E01031028,0,1
632,E01010538,0,1
633,E01008796,0,2
634,E01008599,0,1
635,E01034231,0,2
636,E01003627,0,1
637,E01032483,0,2
638,E01018951,0,0
639,E01020778,0,2
640,E01011805,0,2
641,E01007732,0,1
642,E01027380,0,2
643,E01010376,0,1
644,E01020664,0,1
645,E01035301,0,1
646,E01010283,0,0
647,E01024728,0,1
648,E01009772,0,1
649,E01019522,0,1
650,E01010562,0,1
652,E01010287,0,0
653,E01013150,0,1
654,E01032505,0,2
655,E01027474,0,1
656,E01011780,0,2
657,E01011841,0,2
658,E01010347,0,2
659,E01010398,0,0
660,E01000039,0,0
661,E01030040,0,1
662,E01035035,0,2
663,E01018892,0,1
665,E01017578,0,1
666,E01012842,0,0
667,E01010414,0,1
668,E01020238,0,2
669,E01027527,0,2
670,E01020551,0,1
671,E01006665,0,2
672,E01020075,0,0
673,E01029875,0,2
674,E01006412,0,2
675,E01024566,0,0
676,E01010033,0,0
677,E01031006,0,2
678,E01010408,0,1
680,E01029058,0,2
681,E01010563,0,0
682,E01020763,0,1
683,E01007854,0,1
684,E01010285,0,2
685,E01030065,0,1
686,E01032543,0,1
687,E01029911,0,1
688,E01018863,0,0
689,E01003563,0,2
690,E01026717,0,0
691,E01006413,0,2
692,E01010316,0,1
693,E01010381,0,1
694,E01033476,0,2
695,E01020509,0,1
696,E01020313,0,2
697,E01015267,0,0
698,E01026641,0,1
700,E01016478,0,1
701,E01013085,0,1
702,E01022175,0,0
703,E01033582,0,0
704,E01033148,0,1
705,E01002547,0,0
706,E01011857,0,0
707,E01018024,0,0
708,E01007730,0,2
709,E01010446,0,0
710,E01020304,0,0
711,E01020340,0,2
712,E01013032,0,2
713,E01028864,0,2
714,E01018980,0,0
715,E01024624,0,0
716,E01015146,0,0
717,E01024014,0,2
718,E01032514,0,1
719,E01026930,0,0
720,E01010425,0,2
721,E01033894,0,0
722,E01025471,0,2
723,E01010424,0,0
724,E01017496,0,1
725,E01016013,0,1
726,E01029016,0,2
727,E01023397,0,2
728,E01033895,0,1
729,E01008428,0,2
730,E01035291,0,0
731,E01035004,0,0
732,E01019226,0,0
733,E01019891,0,0
734,E01012908,0,1
735,E01029027,0,2
736,E01010314,0,2
737,E01033886,0,1
738,E01008721,0,2
739,E01020790,0,2
740,E01033128,0,2
741,E01020325,0,0
742,E01019178,0,1
743,E01017587,0,0
744,E01019081,0,1
745,E01021102,0,1
746,E01034621,0,0
747,E01012846,0,0
748,E01029317,0,0
749,E01030058,0,2
750,E01007729,0,0
751,E01018877,0,1
752,E01029319,0,2
753,E01011970,0,1
754,E01008307,0,1
755,E01029659,0,0
756,E01009973,0,1
757,E01026652,0,1
758,E01011852,0,2
759,E01010298,0,0
760,E01002588,0,0
761,E01007902,0,0
762,E01001434,0,2
763,E01034017,0,1
764,E01008136,0,2
765,E01029944,0,2
766,E01035028,0,0
767,E01008630,0,0
768,E01002429,0,2
769,E01003528,0,1
770,E01026935,0,2
771,E01035470,0,1
774,E01021067,0,2
775,E01020761,0,1
776,E01001368,0,1
777,E01006862,0,2
778,E01010736,0,1
779,E01008598,0,0
780,E01030212,0,1
781,E01008862,0,1
782,E01010393,0,1
784,E01010348,0,2
785,E01027510,0,0
786,E01010315,0,0
787,E01024535,0,1
788,E01015488,0,2
789,E01029164,0,0
790,E01028411,0,0
791,E01010557,0,2
792,E01028517,0,1
793,E01003535,0,1
794,E01010350,0,0
795,E01010029,0,2
796,E01026701,0,0
797,E01027569,0,1
798,E01021132,0,2
799,E01011782,0,2
800,E01002505,0,2
801,E01007853,0,0
802,E01015268,0,1
803,E01032484,0,1
804,E01026082,0,0
805,E01018094,0,0
806,E01010536,0,0
807,E01008389,0,2
808,E01024868,0,1
809,E01010926,0,0
810,E01015028,0,0
811,E01010293,0,0
812,E01018868,0,0
813,E01028349,0,2
814,E01010403,0,1
815,E01015142,0,1
816,E01002255,0,0
817,E01017596,0,0
818,E01032888,0,0
819,E01026752,0,0
820,E01032424,0,0
821,E01003631,0,1
822,E01019504,0,1
823,E01031007,0,1
824,E01008128,0,0
825,E01018762,0,2
826,E01020788,0,1
827,E01018945,0,1
828,E01002545,0,0
829,E01010612,0,0
830,E01029057,0,0
831,E01021915,0,2
832,E01032597,0,0
833,E01009764,0,1
834,E01020760,0,0
835,E01008793,0,0
836,E01010418,0,0
837,E01007940,0,1
838,E01007375,0,2
839,E01010452,0,0
840,E01012832,0,1
841,E01027533,0,2
842,E01035368,0,0
843,E01007354,0,1
844,E01026639,0,2
846,E01003575,0,0
847,E01034500,0,2
848,E01029498,0,0
850,E01010346,0,0
851,E01011954,0,1
852,E01019485,0,2
853,E01034519,0,0
854,E01001372,0,1
855,E01010309,0,1
856,E01015026,0,2
857,E01028872,0,2
860,E01013772,0,1
862,E01010279,0,2
863,E01003621,0,2
864,E01011947,0,0
865,E01032056,0,0
866,E01029020,0,2
867,E01009970,0,2
868,E01010032,0,2
869,E01035469,0,2
870,E01031252,0,2
871,E01018550,0,0
872,E01026504,0,2
873,E01010307,0,1
874,E01026624,0,1
875,E01010311,0,2
876,E01012876,0,1
877,E01020762,0,2
878,E01019323,0,1
880,E01020809,0,1
881,E01013144,0,0
882,E01008400,0,2
883,E01020660,0,0
884,E01014026,0,0
885,E01003500,0,1
886,E01011969,0,1
887,E01020506,0,1
888,E01018153,0,0
889,E01012778,0,1
890,E01010401,0,0
891,E01007586,0,2
893,E01026770,0,0
894,E01010423,0,2
895,E01028000,0,1
896,E01027951,0,2
897,E01001437,0,0
898,E01027554,0,0
899,E01008718,0,0
900,E01026702,0,2
901,E01008840,0,0
903,E01010274,0,1
904,E01009778,0,1
905,E01014015,0,2
906,E01009758,0,2
907,E01015083,0,0
908,E01021236,0,1
909,E01010264,0,0
910,E01006979,0,1
911,E01029922,0,0
912,E01020811,0,1
914,E01011977,0,2
915,E01012834,0,0
916,E01029657,0,1
917,E01020288,0,0
918,E01002428,0,1
919,E01010564,0,1
921,E01027475,0,0
922,E01025480,0,2
923,E01010541,0,0
924,E01021805,0,2
926,E01018777,0,1
927,E01009766,0,2
928,E01019663,0,0
929,E01016457,0,2
930,E01017617,0,0
931,E01003588,0,2
932,E01019959,0,1
933,E01011959,0,0
934,E01034161,0,1
935,E01024636,0,1
937,E01026464,0,0
939,E01032862,0,2
941,E01011803,0,1
942,E01029752,0,2
943,E01010259,0,1
944,E01030268,0,2
945,E01014772,0,2
946,E01025376,0,1
947,E01003582,0,2
948,E01003628,0,0
949,E01009788,0,0
950,E01019792,0,1
951,E01010610,0,0
952,E01035131,0,1
953,E01011767,0,1
954,E01024565,0,0
955,E01020119,0,1
956,E01019324,0,1
957,E01010473,0,0
958,E01010265,0,0
960,E01033716,0,2
961,E01027436,0,1
963,E01034562,0,0
964,E01010073,0,1
965,E01002425,0,0
966,E01019966,0,0
967,E01012841,0,1
968,E01026662,0,2
969,E01020306,0,0
970,E01027524,0,0
971,E01011933,0,0
974,E01026045,0,2
975,E01017602,0,0
977,E01010422,0,2
978,E01024533,0,2
979,E01010407,0,0
980,E01015427,0,1
981,E01008799,0,1
982,E01029374,0,2
983,E01035132,0,2
984,E01028828,0,1
985,E01015978,0,0
986,E01001788,0,1
987,E01010561,0,2
988,E01021406,0,2
989,E01010296,0,2
990,E01019521,0,2
991,E01026491,0,0
992,E01010565,0,0
994,E01015165,0,0
995,E01019790,0,0
996,E01010372,0,1
997,E01018864,0,1
998,E01028033,0,1
999,E01004910,0,0
1000,E01022390,0,1
1001,E01027525,0,0
1002,E01010349,0,0
1003,E01025770,0,2
1004,E01020812,0,0
1005,E01013588,0,2
1007,E01029942,0,0
1008,E01010262,0,0
1009,E01035093,0,0
1010,E01026694,0,0
1011,E01034304,0,0
1012,E01034842,0,2
1013,E01029425,0,1
1014,E01021097,0,1
1015,E01012833,0,2
1017,E01008426,0,1
1019,E01029587,0,0
1020,E01007906,0,2
1021,E01007806,0,2
1022,E01017367,0,1
1024,E01013880,0,0
1026,E01019822,0,0
1027,E01031077,0,2
1028,E01035213,0,2
1029,E01012906,0,1
1030,E01025813,0,0
1031,E01018944,0,2
1032,E01003483,0,2
1033,E01022391,0,0
1034,E01003589,0,0
1035,E01021055,0,2
1036,E01021124,0,2
1037,E01010477,0,1
1038,E01004240,0,2
1039,E01035300,0,0
1040,E01000033,0,2
1041,E01019424,0,1
1042,E01035122,0,2
1043,E01034370,0,1
1044,E01009948,0,0
1046,E01018093,0,2
1047,E01019176,0,0
1048,E01029267,0,1
1050,E01029144,0,1
1051,E01014238,0,2
1052,E01019133,0,2
1053,E01032411,0,2
1054,E01010405,0,1
1055,E01011906,0,2
1056,E01026419,0,2
1057,E01003790,0,1
1058,E01017581,0,2
1060,E01012784,0,0
1061,E01002603,0,2
1063,E01026771,0,0
1064,E01021216,0,2
1065,E01010035,0,2
1066,E01020307,0,2
1067,E01003542,0,2
1068,E01034413,0,1
1070,E01016957,0,1
1071,E01027418,0,1
1072,E01026598,0,2
1073,E01008770,0,2
1074,E01028006,0,1
1075,E01026636,0,2
1076,E01010086,0,2
1077,E01029180,0,2
1078,E01029655,0,2
1079,E01010377,0,2
1080,E01009877,0,0
1081,E01002507,0,0
1083,E01035254,0,2
1086,E01009782,0,2
1087,E01015756,0,0
1088,E01003629,0,2
1090,E01012000,0,0
1091,E01020828,0,1
1092,E01009901,0,2
1093,E01028640,0,1
1094,E01006490,0,2
1095,E01026388,0,2
1096,E01027366,0,2
1097,E01006492,0,2
1098,E01010402,0,2
1099,E01010034,0,1
1100,E01025882,0,2
1102,E01019089,0,0
1104,E01033740,0,0
1106,E01011992,0,1
1108,E01015938,0,0
1109,E01034677,0,0
1110,E01033206,0,1
1111,E01011606,0,0
1112,E01016477,0,2
1113,E01017478,0,2
1114,E01007873,0,1
1115,E01007678,0,1
1116,E01032431,0,1
1117,E01010292,0,2
1119,E01010263,0,0
1121,E01002589,0,0
1122,E01010543,0,1
1123,E01033834,0,1
1124,E01001359,0,2
1126,E01019127,0,2
1127,E01003583,0,2
1128,E01008771,0,1
1130,E01003479,0,2
1131,E01007369,0,2
1132,E01011948,0,0
1133,E01002305,0,0
1134,E01034776,0,2
1136,E01020303,0,1
1137,E01034561,0,0
1139,E01026457,0,2
1141,E01032542,0,1
1142,E01022063,0,2
1143,E01003537,0,2
1144,E01008752,0,0
1145,E01010095,0,0
1146,E01020396,0,0
1147,E01017601,0,1
1148,E01003624,0,2
1149,E01001441,0,0
1150,E01013587,0,0
1151,E01009773,0,1
1152,E01014600,0,0
1153,E01024205,0,0
1154,E01020143,0,0
1155,E01032469,0,2
1156,E01013209,0,2
1157,E01000604,0,0
1159,E01009777,0,1
1160,E01012836,0,1
1161,E01015269,0,0
1162,E01010415,0,1
1163,E01031154,0,1
1165,E01009760,0,2
1166,E01031356,0,0
1167,E01012828,0,2
1168,E01009762,0,1
1169,E01010340,0,2
1170,E01028980,0,2
1171,E01014450,0,2
1172,E01026625,0,2
1174,E01030046,0,2
1175,E01025531,0,0
1177,E01034306,0,1
1178,E01003623,0,2
1180,E01013790,0,2
1181,E01010335,0,0
1182,E01003733,0,1
1183,E01019894,0,0
1184,E01010836,0,2
1185,E01009967,0,0
1186,E01013079,0,0
1187,E01027553,0,1
1188,E01030267,0,0
1189,E01027798,0,2
1190,E01008839,0,0
1191,E01011843,0,0
1192,E01026112,0,1
1194,E01012843,0,0
1195,E01008425,0,1
1196,E01011946,0,2
1197,E01021143,0,0
1198,E01010404,0,2
1199,E01025911,0,0
1200,E01018020,0,2
1201,E01027529,0,0
1202,E01034563,0,1
1203,E01028610,0,2
1204,E01018066,0,2
1205,E01008730,0,0
1206,E01020305,0,2
1208,E01032356,0,0
1209,E01020433,0,0
1210,E01020666,0,1
1211,E01007592,0,2
1212,E01031194,0,0
1213,E01030217,0,2
1214,E01026284,0,0
1215,E01001791,0,0
1216,E01019225,0,0
1218,E01011934,0,2
1220,E01010374,0,0
1221,E01009895,0,2
1222,E01034540,0,0
1223,E01008580,0,1
1224,E01012198,0,0
1225,E01007333,0,0
1226,E01019816,0,0
1227,E01010261,0,0
1229,E01007856,0,1
1230,E01013148,0,0
1232,E01010819,0,2
1233,E01012089,0,0
1234,E01030153,0,1
1236,E01017563,0,1
1237,E01021095,0,1
1238,E01009317,0,1
1239,E01035134,0,2
1240,E01026056,0,2
1241,E01025211,0,1
1242,E01011853,0,0
1243,E01018979,0,1
1244,E01020665,0,0
1246,E01009966,0,1
1247,E01017493,0,2
1248,E01021491,0,2
1249,E01029982,0,1
1250,E01001435,0,2
1251,E01025474,0,1
1252,E01009978,0,2
1253,E01008751,0,0
1254,E01011862,0,1
1255,E01010260,0,1
1257,E01015024,0,0
1258,E01026772,0,0
1259,E01010341,0,0
1260,E01003541,0,2
1261,E01024615,0,0
1262,E01007274,0,0
1263,E01020765,0,0
1264,E01000046,0,0
1265,E01019901,0,2
1266,E01007883,0,0
1267,E01017352,0,0
1268,E01011850,0,1
1269,E01027835,0,0
1271,E01029269,0,1
1272,E01019212,0,0
1274,E01025812,0,0
1275,E01020830,0,1
1276,E01026650,0,1
1277,E01012835,0,0
1278,E01007733,0,1
1279,E01011929,0,2
1280,E01021098,0,1
1281,E01007805,0,1
1282,E01021046,0,1
1283,E01011253,0,1
1284,E01029556,0,0
1285,E01009952,0,1
1286,E01015208,0,0
1287,E01011848,0,2
1288,E01020072,0,2
1289,E01029742,0,1
1290,E01026014,0,2
1291,E01003560,0,1
1292,E01010366,0,0
1294,E01029000,0,0
1295,E01010632,0,2
1296,E01003730,0,1
1297,E01001789,0,1
1298,E01019381,0,1
1299,E01008838,0,2
1300,E01000503,0,0
1301,E01009781,0,1
1302,E01009338,0,2
1303,E01007492,0,0
1304,E01028609,0,1
1305,E01002556,0,1
1306,E01030236,0,1
1308,E01028893,0,1
1309,E01011834,0,2
1310,E01026592,0,1
1311,E01011994,0,1
1312,E01018759,0,1
1313,E01018551,0,1
1314,E01001371,0,0
1315,E01024085,0,1
1316,E01016517,0,2
1317,E01016389,0,0
1318,E01001438,0,0
1319,E01007367,0,0
1320,E01011855,0,2
1321,E01008916,0,1
1322,E01035117,0,1
1325,E01003545,0,1
1326,E01014359,0,0
1327,E01020754,0,0
1328,E01026785,0,1
1329,E01011808,0,1
1330,E01010367,0,0
1331,E01028569,0,2
1332,E01019097,0,1
1333,E01025456,0,0
1334,E01029326,0,2
